country,iso2c,year,jw_rank,jw_persr,jw_domr,jw_avgballot,jw_avgpool,jw_avgvote,dem_age,maj,mdmh,totalseats,mdmh.1,mdmhDum,day,month,Video,Start.Footage.,No.start,No.join,TimeToPeak.sec,No.atPeak,RangeNoPeak.low,RangeNoPeak.high,PeakLength.sec,R.involved,R.start,No.Names,No.Injuries,Total,TotalPropSeats
RUSSIAN FEDERATION,RU,2001,0,10,1,1,1,0.5,2,0.330952376127243,113,420,113,District Mag. > 1,16,6,Y,Y,2,0,55,2,NA,NA,10,NA,NA,NA,NA,2,0.00476190476190476
RUSSIAN FEDERATION,RU,2005,0,10,1,1,1,0.5,6,0.505592823028564,113,447,113,District Mag. > 1,30,3,Y,Y,4,1,5,4,2,5,20,20+,2,1,0,4,0.00894854586129754
SLOVAKIA,SK,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,9,Y,Y,2,0,16,2,NA,NA,3,6,2,2,0,2,NA
SOMALIA,SO,2005,NA,NA,NA,NA,NA,NA,0,1,NA,275,-999,NA,17,3,N,N,NA,NA,NA,NA,NA,NA,NA,"""Lawmakers""",NA,2,1+,5,0.0181818181818182
SOMALIA,SO,2009,NA,NA,NA,NA,NA,NA,0,1,888,275,888,District Mag. > 1,8,9,N,N,NA,NA,NA,NA,NA,NA,NA,Multiple,0,0,0,5,0.0181818181818182
SOMALIA,SO,2010,NA,NA,NA,NA,NA,NA,0,1,888,275,888,District Mag. > 1,15,11,Y,N,8,0,8,10,8,12,NA,NA,NA,NA,NA,10,0.0363636363636364
SOMALIA,SO,2011,NA,NA,NA,NA,NA,NA,0,1,888,275,888,District Mag. > 1,NA,12,Y,Y,3,12,5,14,12,16,20,5+,1,0,0,14,0.0509090909090909
SOMALIA,SO,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,N,N,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA
SOUTH AFRICA,ZA,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THAILAND,TH,2009,0,10,10,1.6,1.6,0.8,0,0.658333361148834,2.90000009536743,480,2.90000009536743,District Mag. > 1,15,5,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THAILAND,TH,2012,0,10,10,1.6,1.6,0.8,2,0.569999992847443,2.90000009536743,500,2.90000009536743,District Mag. > 1,31,5,Y,Y,1,25,173,30,25,40,4,"""Some""",~3,1,0,30,0.06
THAILAND,TH,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8,Y,N,2,8,1,10,4,20,25,57+,57,1,0,10,NA
TURKEY,TR,1989,0,NA,NA,NA,NA,NA,7,0.648888885974884,NA,450,NA,NA,30,3,N,N,NA,NA,NA,NA,NA,NA,NA,3,2,3,0,3,0.00666666666666667
TURKEY,TR,2001,0,NA,NA,NA,NA,NA,19,0.638181805610657,7,550,7,District Mag. > 1,1,3,N,N,NA,NA,NA,NA,NA,NA,NA,3+,2,1,1-Death,4,0.00727272727272727
TURKEY,TR,2007,0,NA,NA,NA,NA,NA,25,0.670979678630829,7,541,7,District Mag. > 1,26,9,N,N,NA,NA,NA,NA,NA,NA,NA,~12,2,0,0,12,0.022181146025878
TURKEY,TR,2010,0,NA,NA,NA,NA,NA,28,0.621129333972931,7,549,7,District Mag. > 1,5,5,N,N,NA,NA,NA,NA,NA,NA,NA,5 to 10,NA,0,0,7.5,0.0136612021857923
TURKEY,TR,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,Y,N,2,0,20,2,NA,NA,15,Several,2,2,1,2,NA
TURKEY,TR,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2+,NA,2,2,3,NA
"TAIWAN, PROVINCE OF CHINA",TW,1993,0,11,11,0.82089552238806,1.64179104477612,1.64179104477612,2,0.596273303031921,8.80000019073486,161,8.80000019073486,District Mag. > 1,13,4,N,N,NA,NA,NA,NA,NA,NA,NA,~40,2,2,0,40,0.248447204968944
"TAIWAN, PROVINCE OF CHINA",TW,1993,0,11,11,0.82089552238806,1.64179104477612,1.64179104477612,2,0.596273303031921,8.80000019073486,161,8.80000019073486,District Mag. > 1,24,6,N,N,NA,NA,NA,NA,NA,NA,NA,Multiple,2,2,2,5,0.031055900621118
"TAIWAN, PROVINCE OF CHINA",TW,1994,0,11,11,0.82089552238806,1.64179104477612,1.64179104477612,3,0.596273303031921,8.80000019073486,161,8.80000019073486,District Mag. > 1,3,6,N,N,NA,NA,NA,NA,NA,NA,NA,7,2,2,1,7,0.0434782608695652
"TAIWAN, PROVINCE OF CHINA",TW,1995,0,11,11,0.823529411764706,1.64705882352941,1.64705882352941,4,0.588607609272003,8.80000019073486,158,8.80000019073486,District Mag. > 1,19,7,N,N,NA,NA,NA,NA,NA,NA,NA,"""Several""",2,1,5,5,0.0316455696202532
"TAIWAN, PROVINCE OF CHINA",TW,1995,0,11,11,0.823529411764706,1.64705882352941,1.64705882352941,4,0.588607609272003,8.80000019073486,158,8.80000019073486,District Mag. > 1,6,12,N,N,NA,NA,NA,NA,NA,NA,NA,2+,2,0,0,3,0.0189873417721519
"TAIWAN, PROVINCE OF CHINA",TW,2001,0,11,11,0.84,1.68,1.68,10,0.319999992847443,11.5,225,11.5,District Mag. > 1,29,3,N,N,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,2,0.00888888888888889
"TAIWAN, PROVINCE OF CHINA",TW,2004,0,11,11,0.84,1.68,1.68,13,0.444444447755814,11.5,225,11.5,District Mag. > 1,7,5,N,N,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,2,0.00888888888888889
"TAIWAN, PROVINCE OF CHINA",TW,2006,0,11,11,0.84,1.68,1.68,15,0.395555555820465,11.5,225,11.5,District Mag. > 1,26,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,~4,NA,1,0,4,0.0177777777777778
