"iso2c","year","federal"
"BY",1999,NA
"BY",2000,NA
"BY",2001,NA
"BY",2002,NA
"BY",2003,NA
"BY",2004,NA
"BY",2005,NA
"BY",2006,NA
"BY",2007,NA
"BY",2008,NA
"BY",2009,NA
"BZ",1981,NA
"BZ",1982,NA
"BZ",1983,NA
"BZ",1984,NA
"BZ",1985,NA
"BZ",1986,NA
"BZ",1987,NA
"BZ",1988,NA
"BZ",1989,NA
"BZ",1990,NA
"BZ",1991,NA
"BZ",1992,NA
"BZ",1993,NA
"BZ",1994,NA
"BZ",1995,NA
"BZ",1996,NA
"BZ",1997,NA
"BZ",1998,NA
"BZ",1999,NA
"BZ",2000,NA
"BZ",2001,NA
"BZ",2002,NA
"BZ",2003,NA
"BZ",2004,NA
"BZ",2005,NA
"BZ",2006,NA
"BZ",2007,NA
"BZ",2008,NA
"CA",1980,1
"CA",1981,1
"CA",1982,1
"CA",1983,1
"CA",1984,1
"CA",1985,1
"CA",1986,1
"CA",1987,1
"CA",1988,1
"CA",1989,1
"CA",1990,1
"CA",1991,1
"CA",1992,1
"CA",1993,1
"CA",1994,1
"CA",1995,1
"CA",1996,1
"CA",1997,1
"CA",1998,1
"CA",1999,1
"CA",2000,1
"CA",2001,1
"CA",2002,1
"CA",2003,1
"CA",2004,1
"CA",2005,1
"CA",2006,1
"CA",2007,1
"CA",2008,1
"CA",2009,1
"CD",1980,NA
"CD",1981,NA
"CD",1982,NA
"CD",1983,NA
"CD",1984,NA
"CD",1985,NA
"CD",1986,NA
"CD",1987,NA
"CD",1988,NA
"CD",1989,NA
"CD",1990,NA
"CD",1991,NA
"CD",1992,NA
"CD",1993,NA
"CD",1994,NA
"CD",1995,NA
"CD",1996,NA
"CD",1997,NA
"CD",1998,NA
"CD",1999,NA
"CD",2000,NA
"CD",2001,NA
"CD",2002,NA
"CD",2003,NA
"CD",2004,NA
"CD",2005,NA
"CD",2006,NA
"CD",2007,NA
"CD",2008,NA
"CD",2009,NA
"CF",1980,NA
"CF",1981,NA
"CF",1982,NA
"CF",1983,NA
"CF",1984,NA
"CF",1985,NA
"CF",1986,NA
"CF",1987,NA
"CF",1988,NA
"CF",1989,NA
"CF",1990,NA
"CF",1991,NA
"CF",1992,NA
"CF",1993,NA
"CF",1994,NA
"CF",1995,NA
"CF",1996,NA
"CF",1997,NA
"CF",1998,NA
"CF",1999,NA
"CF",2000,NA
"CF",2001,NA
"CF",2002,NA
"CF",2003,NA
"CF",2004,NA
"CF",2005,NA
"CF",2006,NA
"CF",2007,NA
"CF",2008,NA
"CF",2009,NA
"CG",1980,NA
"CG",1981,NA
"CG",1982,NA
"CG",1983,NA
"CG",1984,NA
"CG",1985,NA
"CG",1986,NA
"CG",1987,NA
"CG",1988,NA
"CG",1989,NA
"CG",1990,NA
"CG",1991,NA
"CG",1992,NA
"CG",1993,NA
"CG",1994,NA
"CG",1995,NA
"CG",1996,NA
"CG",1997,NA
"CG",1998,NA
"CG",1999,NA
"CG",2000,NA
"CG",2001,NA
"CG",2002,NA
"CG",2003,NA
